"pplNpdidPipeline","fclNpdidFacilityFrom","fclNpdidFacilityTo","pplNpdidBelongsTo","cmpNpdidCompany","pplName","fclNameFrom","fclNameTo","pplBelongsToName","cmpLongName","pplCurrentPhase","pplMedium","pplMainGroupingName","pplDimension","pplMapLabel","pplWaterDepth","pplCurrentPhaseFromDate","pplDateUpdated","pipGeometryWKT"
303866,"",271973,1341670,1944954,"36"" Gas Disconnected, EKOFISK S","","EKOFISK S","STATPIPE 4B","Gassco AS","DECOMMISSIONED","Gas","Transportation",36.0,"Statpipe",80.0,"1998-08-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((2.4726659996872362 58.188777000162659, 2.4736360004651359 58.184964000443514, 2.4741469992215039 58.161356000404275, 2.4790689994795239 57.745225000370809, 2.4810609992675969 57.735485999626967, 2.5524689996198648 57.582514000105668, 2.6230610004484052 57.428549999577719, 2.7028719994354096 57.253655999651563, 2.79523299984981 57.04724200041808, 2.8151669993279702 57.004296999674175, 2.8187749997370428 56.999128000393469, 2.8235189999398425 56.994239000442569, 2.9997109993271249 56.842717000326687, 3.0711439999041281 56.768583000373553, 3.0778080003054136 56.758141999923531, 3.1654279992079295 56.592264000030802, 3.1739530005994916 56.582972000235138, 3.2130999996905647 56.553138999932386, 3.2138170001855881 56.55189699956189))"
306280,286673,286113,124133,2410696,"34"" Oil 36/22-BP, TEESSIDE","36/22-BP","TEESSIDE","NORPIPE OLJELEDNING","ConocoPhillips Skandinavia AS","IN SERVICE","Oil","Transportation",34.0,"Norpipe Oljeledning",95.0,"1975-10-14 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((0.20388799995565854 55.290888000128142, 0.14261700071743189 55.264671999873144, 0.10312799952575134 55.245942000409876, 0.082725000435632953 55.237721999912928, 0.0034809998109081083 55.201550000418024, -0.099107999988233941 55.159381000394845, -0.1386919995227186 55.141600000105946, -0.19484700025177265 55.112675000098761, -0.23385000027015551 55.093608000119943, -0.27455600066132846 55.076657999867244, -0.31380800003711856 55.05864700042271, -0.33249699959426543 55.04887799961196, -0.35286400010757629 55.040539000013965, -0.4911609995384037 54.978067000365044, -0.92167200025549589 54.779306000047242, -1.0186749996881064 54.733764000047785, -1.0613889999229893 54.718758000419925, -1.115575000283451 54.680860999849799, -1.1339579996440734 54.68001099959438, -1.2955550001148772 54.62583299960697))"
306314,286645,286673,124133,2410696,"34"" Oil 37/4-BP, 36/22-BP","37/4-BP","36/22-BP","NORPIPE OLJELEDNING","ConocoPhillips Skandinavia AS","IN SERVICE","Oil","Transportation",34.0,"Norpipe Oljeledning",95.0,"1975-10-14 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((1.6122220005122994 55.900162000283878, 1.5827389994591043 55.887114000411934, 1.3767280007673559 55.800817000126408, 1.2956310004340093 55.765483000397431, 1.2543110007697877 55.748502999892693, 1.029556000737567 55.652492000164578, 0.98946899999603066 55.634496999849347, 0.8065440006532596 55.555955999827034, 0.46322799947800575 55.406050000073897, 0.24314999944943269 55.308693999879132, 0.22198900064949592 55.300305999688668, 0.20278600005441638 55.291058000401122, 0.20388799995565854 55.290888000128142))"
307674,282613,286169,2252643,1944954,"42"" Gas ÅSGARD ERB, KÅRSTØ","ÅSGARD ERB","KÅRSTØ","GASSLED","Gassco AS","IN SERVICE","Gas","Transportation",42.0,"Åsgard Transport",372.0,"2000-10-04 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((6.799053000828307 65.106685999588478, 6.8007540007728675 65.106673999651093, 6.801827000391774 65.07169300032173, 6.8011770003163248 65.065872000053986, 6.796874000102104 65.046898000327801, 6.775663000427615 64.986969000447999, 6.7708350002113784 64.969657999616246, 6.755933999172874 64.927237999875103, 6.7194709995104169 64.831191999643323, 6.7145270009470739 64.823050999974171, 6.6841779992089778 64.789321999888969, 6.6672209995092455 64.764411999565681, 6.6634569990385479 64.755523999749769, 6.6615669992301454 64.738419000219594, 6.6572860009785719 64.729361999914445, 6.6360870000627923 64.705115999673538, 6.6275720005137568 64.691307000188758, 6.619782999035146 64.681915000210338, 6.5846070010430999 64.631286999663004, 6.5496789993431683 64.590255999928331, 6.5400630003263673 64.575790000429322, 6.5380919998209235 64.570656000336143, 6.5351609996976165 64.556586999681329, 6.5385880001872048 64.533362999853338, 6.537720999946468 64.524277000029116, 6.5114320000257671 64.455818000346085, 6.4915570003864431 64.415993000389491, 6.4896899991997303 64.410544999598784, 6.4894370009002351 64.401810000419218, 6.4941749996945308 64.383110000359338, 6.4929619993105669 64.373618999961906, 6.4770680006347616 64.343345999854208, 6.4757959992264773 64.337097000055465, 6.4747120001236205 64.317153999888177, 6.4734979999213467 64.311622999751464, 6.4639899997490415 64.285263000080988, 6.4554519990408803 64.272034000367256, 6.4529399996184598 64.266624000112301, 6.3841480002875901 64.067199999946823, 6.379442000773591 64.058937000197332, 6.3527549990517711 64.030396000212335, 6.2979250004056881 63.961258000186803, 6.2944260003829955 63.954593999730939, 6.2929459997313808 63.949283999727385, 6.2934390003441338 63.935944000003751, 6.2928789991559242 63.9317020002796, 6.2882560007683104 63.922320999665125, 6.2809690002715151 63.914981999610504, 6.2514659997388629 63.893195999986702, 6.2442450003044341 63.88627599971332, 6.2322239996688262 63.870421999686066, 6.2302390007155779 63.866046999712772, 6.2258069993072596 63.850116999579583, 6.2228449993993333 63.845104000094821, 6.2177709992063654 63.839535000008183, 6.2117559992012845 63.834678999942341, 6.202958000421158 63.829184999612515, 6.1697310004356449 63.813801000065041, 6.1618739999940138 63.80833799971262, 6.1564790008891945 63.802948000132162, 6.1404840007914752 63.782593000326159, 6.1380209998518245 63.777016000028915, 6.1324500005816382 63.756659999869306, 6.1265440005505596 63.746868000398905, 6.0651190007157894 63.690059999844614, 6.0354520005618655 63.65683699989102, 5.9460230004836445 63.535294000440096, 5.8099019990293774 63.354507000391891, 5.6657590002794187 63.182842000043834, 5.6119420009738974 63.132224999676964, 5.588281000893959 63.115170000342204, 5.3317000007591213 62.888393000157528, 5.1497519994283376 62.725098000285556, 4.9846049990665717 62.574950999933165, 4.9253809995408346 62.52640499987335, 4.8678109993182268 62.463775999608551, 4.8595369999639209 62.457236999756645, 4.8302719997204404 62.438052999842355, 4.8237709997608658 62.432700999803586, 4.7824929996854131 62.386898000067454, 4.7643030006125882 62.372802999782174, 4.6863039994424076 62.300658999992038, 4.7201369990395756 62.33195900017482, 4.6901279990707803 62.304211000050408, 4.524519000572286 62.149509000442812, 4.4186939996121293 62.049289999733801, 4.4137450004846803 62.041615000209823, 4.367989999283151 61.938778000137923, 4.3186770004981394 61.839461999751528, 4.3099730000777754 61.820388999959917, 4.2851159992440433 61.752987000291512, 4.2662549992750654 61.709937999939584, 4.2524199994411926 61.683799999554893, 4.2437909992843297 61.657913000339441, 4.2275429996440375 61.619914999615105, 4.2134450004795987 61.564274000153688, 4.1748710007067116 61.49434299999303, 4.1362820002182046 61.409846999724273, 4.0940299992021272 61.312667999849346, 4.0824399998057554 61.284087999550138, 4.081267999499917 61.277973000235491, 4.0812159994793236 61.272240000090015, 4.1101100007242941 60.959315999585336, 4.1122409993598952 60.947399000251679, 4.2473639997121975 60.639361999794119, 4.2703340000643877 60.589211000207477, 4.3342529996041685 60.44383999995673, 4.3808569999975182 60.322605000391512, 4.4199729998395547 60.23642699967133, 4.5073479992289025 60.028087999582112, 4.5200740007855229 59.99371699973802, 4.5466789999486057 59.935153999549591, 4.5682709998080586 59.884422000254666, 4.5743579996495889 59.861239999902885, 4.6005619995459321 59.803031999717668, 4.626949000792977 59.739563000341811, 4.6333449992334241 59.73085000018002, 4.6407699997369738 59.724090999891189, 4.7288319997019954 59.656124000116456, 4.7571739995775166 59.637793999858751, 4.800672999931038 59.603038999880987, 4.8059350008608046 59.59717199980463, 4.8126170005023434 59.583442999685886, 4.8179510008455253 59.576465999831953, 4.8367920001438129 59.559802999579766, 4.849466999327003 59.54484899997238, 4.8899869993997847 59.503559000371006, 4.9105939995504171 59.48648500010156, 4.9292149991020509 59.466114000202658, 4.9374729994457303 59.459132999919021, 4.9464120004761734 59.453930000006842, 4.9561169997233572 59.449710999939676, 4.9877310003784627 59.440471999959342, 5.0060550002345403 59.43396000003996, 5.0318500007500662 59.42083399984552, 5.037481999922897 59.416877999739071, 5.0495270002758561 59.40631500030829, 5.0603069994183434 59.395149000001943, 5.0702350005306958 59.387974000321108, 5.1145349997287068 59.351184999740248, 5.1243180003957001 59.345013000447068, 5.1367639997171199 59.340038000406913, 5.1520509997825101 59.336414000144387, 5.1747390007087359 59.333407999831962, 5.1951470006873084 59.333396999710274))"
308524,272029,277937,124285,28544099,"20"" Oil ULA PP, EKOFISK J","ULA PP","EKOFISK J","ULA OLJERØR","Aker BP ASA","IN SERVICE","Oil","Transportation",20.0,"Ula Oljerør",75.0,"1986-05-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((3.2212819995250643 56.547199999950472, 3.2107170004596326 56.551057999914853, 3.1844219996821899 56.552555999860566, 3.1713889998727152 56.555053000406737, 3.1585779999381165 56.560505999812271, 3.1541670002433211 56.563836000290898, 3.1500580005059682 56.568521999940508, 3.1471749995150859 56.574444000412562, 3.1147110007471244 56.686353000221253, 3.0754080001767732 56.761089000086542, 3.0699830008769333 56.768943999628881, 2.9963559994123923 56.844775000278922, 2.8555469996885465 56.965983000049278, 2.8489529994651148 56.970656000041195, 2.81626700056181 56.989816999800901, 2.8104310002533124 56.995035999979947, 2.8082470005365963 57.000414000403921, 2.8090079996035162 57.005914000118977, 2.8525690001432209 57.087692000243777, 2.8539750005738433 57.094160999755019, 2.8535829994014872 57.100844000381578, 2.8502240008490918 57.111499999757747, 2.8485689994275369 57.111755999841598))"
309000,277321,286505,43618,32011216,"9.3"" Gas VESLEFRIKK A, STT-IN","VESLEFRIKK A","STT-IN","VESLEFRIKK","Equinor Energy AS","DECOMMISSIONED","Gas","Transportation",9.300000190734863,"Statpipe",176.0,"2022-02-28 00:00:00","2022-03-03 00:00:00","MULTILINESTRING ((2.8968630007262841 60.560874999913679, 2.8984710001831338 60.561433999560492, 2.8983029999642405 60.565728000117005, 2.8859000005838573 60.770343999931001, 2.8865189995181257 60.773211000020147, 2.8889440003957918 60.776668999833703, 2.8964999992334621 60.782628000075853, 2.897858000696087 60.782704999984752))"
310326,286533,286281,2252643,1944954,"40"" Gas ZEEPIPE-SCP, ZEEBRUGGE","ZEEPIPE-SCP","ZEEBRUGGE","GASSLED","Gassco AS","IN SERVICE","Gas","Transportation",40.0,"Zeepipe I",39.900001525878906,"1993-10-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((3.2998160006269788 54.789493999605405, 3.2822609999249912 54.629155999712218, 3.2108920006915365 54.178981000297362, 3.1367439999682065 53.698311000374026, 3.0917389995560387 53.263396999866316, 3.0917310005927972 53.247569000094579, 3.0927919994279933 53.238399999870651, 3.0958720006666849 53.223977999653577, 3.1217690005408483 53.12531099995843, 3.1974529992165999 52.828461000335544, 3.2054360005823535 52.796652999844618, 3.2075079996591787 52.782616999576604, 3.2078000000665483 52.768997000338331, 3.2066809998219012 52.756646999676796, 3.1742249999576497 52.52010799983907, 3.1739529996152442 52.508288999905723, 3.1746809998611196 52.499421999904484, 3.1851440003527745 52.415277999602878, 3.1848360000442248 52.398917000101648, 3.1565310004201126 52.16951100031153, 3.1526919995663567 52.155527999858236, 3.1480919993530994 52.143916999641029, 3.1270440007257658 52.10625299991392, 3.1223280005968514 52.095146999956512, 3.1190079995828528 52.084746999742826, 3.1162029999255818 52.071580999860373, 3.0824030004171159 51.831169000233352, 3.0218280000508879 51.631135999885586, 3.0189059999560803 51.617983000370103, 3.01802799952213 51.608300000011155, 3.0181469999034696 51.600864000345567, 3.0198110004823229 51.588519000186828, 3.02535799967327 51.571092000427853, 3.0345469994043923 51.553960999726137, 3.0479940002319763 51.53742199994511, 3.058631000359239 51.526978000010203, 3.218224999474435 51.395533000410431, 3.234006000168292 51.381610999781429, 3.2372220001025629 51.374914000093071, 3.2372889997153074 51.369664000148916, 3.2297969993650759 51.350507999918058))"
313556,286365,286169,2252643,1944954,"30"" Gas STAT-SSTC, KÅRSTØ","STAT-SSTC","KÅRSTØ","GASSLED","Gassco AS","IN SERVICE","Gas","Transportation",30.0,"Statpipe",300.0,"1985-10-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((1.845935999974865 61.185830000154752, 1.8561830003025301 61.174018999843923, 1.861911000766032 61.169218999654731, 1.869550000458337 61.164275000346358, 1.8801920008087321 61.159308000233359, 1.9459580009714088 61.133843999602746, 1.9657169998639228 61.123868999627781, 2.0927140005821183 61.054582999979566, 2.4022500005079297 60.882856000267239, 2.5532279999674046 60.798233000439701, 2.7807720005712868 60.669156000386053, 2.7907719991832054 60.661771999675722, 2.9261359994062923 60.533582999683986, 3.151214000208749 60.401691999639674, 3.1602390004886511 60.397631000193677, 3.1704749994164549 60.394278000096818, 3.1919109999910096 60.389681000363531, 3.3562969993114211 60.377238999637335, 3.3727190002014971 60.373978000373462, 3.3868310002334212 60.367796999829217, 3.4103579994583257 60.352400000423771, 3.4407140005913615 60.333925000235006, 3.4464669996765189 60.329208000236157, 3.4613779994249785 60.314416999743045, 3.4921440000051387 60.287996999693085, 3.5118419992081678 60.269632999802759, 3.5460420006331184 60.247106000332366, 3.5641580002669775 60.23391099981405, 3.5796170000693737 60.220949999623969, 3.5870029997807227 60.216824999916625, 3.6116110000305417 60.205741999564459, 3.6615639991145477 60.172746999991091, 3.6822439998973473 60.160869000000993, 3.7121059999080503 60.139107999597684, 3.7558780000183951 60.111580999661832, 3.7918059992859656 60.085121999707823, 3.8281190004722938 60.068325000181872, 3.8361780008921995 60.063810999639323, 3.8840250006444239 60.028794000334244, 3.9115890000218343 60.013100000409658, 4.1020780000041137 59.887128000412012, 4.1251609993714995 59.869061000425781, 4.1848579994169848 59.828783000110505, 4.2107310000194529 59.809689000204877, 4.2384359994517631 59.793374999766932, 4.2907580006358126 59.758397000388584, 4.3212420007980858 59.739811000415749, 4.3494280001040506 59.719497000199567, 4.4138439994679945 59.676656000383524, 4.468918999246335 59.648641999832961, 4.4759059995933761 59.644439000280002, 4.4833859998222687 59.63834699962861, 4.531808000781699 59.590118999657641, 4.5398189991452806 59.583003000006642, 4.5522439997330491 59.575625000360077, 4.6046810006952432 59.553142000314544, 4.6166169996336208 59.545432999903085, 4.6389939992993465 59.524721999695757, 4.6744809991825917 59.497535999935309, 4.6800440007378938 59.490702999817586, 4.6957109994884574 59.463841999679438, 4.7036469999476447 59.455988999813549, 4.713303000169776 59.449618999567228, 4.9403310007201737 59.343543999918019, 4.9515829997240726 59.339028000245818, 4.962696999805253 59.335896999618861, 4.9737689998155172 59.333708000228192, 4.9968580000082623 59.331039000220372, 5.0325970006219407 59.327433000401946, 5.0456920009074357 59.326921999595818, 5.0669809999703999 59.328266999854179, 5.1172940005056677 59.336478000431377, 5.1289609998851819 59.337588999890748, 5.1472060005262099 59.337380999833478, 5.1742440008230028 59.333744000288789, 5.1951470006873084 59.333396999710274))"
314542,278329,286729,101998,32011216,"36"" Gas TROLL A, KOLLSNES","TROLL A","KOLLSNES","TROLL I","Equinor Energy AS","IN SERVICE","Gas","Transportation",36.0,"Troll Gassrør P10",347.0,"1996-10-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((3.7264940007781839 60.645638000316104, 3.7637569994781419 60.645827999563956, 3.7781830006441792 60.645034999769692, 3.8645920007558572 60.631122999840379, 4.1071109993455712 60.605063999874886, 4.4597929998739927 60.537148000360162, 4.610259000460907 60.507679000274209, 4.6439600003198924 60.500450000084079, 4.6606249996509064 60.498062000152281, 4.6773669991429569 60.497223000307905, 4.6981600004055313 60.497966999800852, 4.7148109993474945 60.500240000167906, 4.7292170002054243 60.503727000237099, 4.7978440007269016 60.527699000433977, 4.8358299996710503 60.550174999620388))"
314576,278329,286729,101998,32011216,"36"" Gas TROLL A, KOLLSNES","TROLL A","KOLLSNES","TROLL I","Equinor Energy AS","IN SERVICE","Gas","Transportation",36.0,"Troll Gassrør P11",347.0,"1997-10-01 00:00:00","2019-10-02 00:00:00","MULTILINESTRING ((3.7264940007781839 60.645638000316104, 3.7390160007205173 60.64367699964594, 3.7713660007600436 60.640793000252671, 3.8136969993738568 60.635239000403111, 4.1106700007825463 60.603485000219571, 4.6429200000035911 60.500328000333091, 4.6680799996135969 60.496109000238768, 4.6836960003850256 60.495688999644784, 4.6949120001839582 60.496437000054094, 4.7124579997988789 60.498440000027905, 4.7224809991661791 60.501022000066747, 4.7981560007051112 60.527691000422216, 4.8358299996710503 60.550174999620388))"
